"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.91157899424429e-19,1.38266494927698,0.856,0.504,3.64327840513019e-15,"0","Grin2c"
4.87628985795058e-19,1.14690356769025,0.886,0.609,9.29372084026801e-15,"0","Rnf112"
1.56344812917965e-17,0.940049740971116,0.664,0.423,2.97977578940349e-13,"0","Kndc1"
2.24921554414618e-17,0.83092140866982,0.969,0.851,4.28677990558821e-13,"0","Fnbp1"
1.17907014107194e-16,0.772188754900039,0.893,0.656,2.24718978186901e-12,"0","Cbln3"
5.31728034018324e-14,0.646049035734113,0.955,0.832,1.01342046003552e-09,"0","Syne1"
8.38530354349507e-13,0.760649673572012,0.853,0.678,1.59815500235473e-08,"0","Rims1"
1.04727780404884e-12,0.641662139203253,0.971,0.82,1.99600676673668e-08,"0","Adcy1"
5.53793315528159e-12,1.13223627634001,0.654,0.423,1.05547468006512e-07,"0","Epb41l4b"
7.93979309192597e-12,0.920802026670501,0.923,0.679,1.51324516539017e-07,"0","Ppfia4"
1.77541431712862e-11,-2.69431783105896,0.051,0.271,3.38376214701544e-07,"0","Kif21b"
3.06642290807749e-11,0.518949583743957,0.967,0.815,5.84429542050489e-07,"0","Cbln1"
3.78935397030386e-11,0.694962717265312,0.85,0.682,7.22212973200213e-07,"0","Atp2b3"
7.109532908651e-11,-2.72345988294823,0.051,0.253,1.35500587705979e-06,"0","Myo16"
7.6327779767342e-11,0.945751608456229,0.829,0.582,1.45473115458577e-06,"0","St8sia5"
8.3102831328227e-11,0.818653000409323,0.627,0.455,1.58385686228468e-06,"0","Nptx1"
8.7214525099794e-11,0.950057445178118,0.617,0.434,1.66222163387697e-06,"0","Aifm3"
9.8179585192747e-11,0.907343978155669,0.852,0.584,1.87120471418857e-06,"0","Gabra6"
1.40549155015933e-10,0.808543601016322,0.788,0.607,2.67872634544867e-06,"0","Igsf9b"
1.48529258000253e-10,0.78675586656743,0.789,0.628,2.83081912822681e-06,"0","Tspoap1"
1.83414141243524e-10,-1.84275991286892,0.072,0.271,3.49569011796033e-06,"0","Ccdc88a"
2.31374369584858e-10,-2.24898251015116,0.192,0.468,4.40976410991781e-06,"0","mt-Co1"
6.02449765376158e-10,0.900687421080691,0.667,0.476,1.14820900783042e-05,"0","Ank1"
8.23030707154206e-10,0.813692981236913,0.81,0.613,1.5686142247652e-05,"0","Dnm1"
1.19575001139795e-09,0.893370936965781,0.916,0.694,2.27897994672336e-05,"0","Grm4"
1.2130724541731e-09,0.545213465730465,0.994,0.919,2.31199479040851e-05,"0","Cadm3"
1.47372906702031e-09,-2.41406104505744,0.072,0.293,2.80878022883401e-05,"0","mt-Nd2"
1.77112890066703e-09,-2.49280285049339,0.166,0.496,3.3755945717813e-05,"0","Ptn"
2.03299478913235e-09,0.485259080804219,0.839,0.718,3.87468476860735e-05,"0","Adam11"
2.6317427821055e-09,-1.8339859403282,0.072,0.253,5.01583856841488e-05,"0","Fnbp1l"
3.28798440068062e-09,-2.19935035101415,0.264,0.535,6.26656946925719e-05,"0","mt-Co3"
3.35468752304124e-09,-2.39815408426454,0.183,0.456,6.3936989501643e-05,"0","mt-Nd1"
3.57663420188975e-09,0.58873771342058,0.811,0.668,6.81670712538167e-05,"0","Olfm1"
7.99322336447882e-09,0.629607129552743,0.605,0.528,0.000152342844103602,"0","Trim3"
1.04038286115328e-08,-2.05593678391136,0.135,0.384,0.000198286569507204,"0","mt-Nd4l"
1.10007276576204e-08,0.711771664133591,0.826,0.693,0.000209662868426588,"0","Bmp1"
1.1023357876092e-08,0.698546156542913,0.806,0.68,0.000210094177760436,"0","Adam22"
1.16926404505678e-08,-2.15516834724782,0.423,0.661,0.000222850034347371,"0","mt-Co2"
1.23274593952645e-08,0.802100003153472,0.718,0.537,0.000234949048614346,"0","Eno2"
1.90301148730896e-08,0.919160322378255,0.698,0.508,0.000362694959366214,"0","Kcnt1"
2.11915423580275e-08,-1.62805355684928,0.079,0.241,0.000403889605801646,"0","Frmd4a"
2.15219209139362e-08,-1.61777611610941,0.164,0.389,0.000410186290698711,"0","Plppr3"
3.14596913888456e-08,-2.14098956766988,0.297,0.564,0.000599590258180009,"0","mt-Atp6"
3.36902064487676e-08,0.78910095204565,0.834,0.621,0.000642101644707062,"0","Slc8a2"
3.68380116551768e-08,-2.25094181794978,0.27,0.543,0.000702095664136014,"0","mt-Atp8"
4.13220277709728e-08,1.06409607900157,0.499,0.34,0.000787556527286971,"0","Khnyn"
4.38618524027062e-08,0.662659762351838,0.838,0.606,0.000835963044943178,"0","Slc17a7"
5.15876173956432e-08,-2.40213116425728,0.087,0.309,0.000983208399943565,"0","Cd9"
6.11089705096748e-08,0.632020334028639,0.75,0.603,0.00116467586894389,"0","Camk4"
6.84494588296923e-08,0.499743352385219,0.757,0.644,0.0013045782358351,"0","Kcnk9"
7.4058442656028e-08,-2.39902773930005,0.187,0.37,0.00141147985858124,"0","Sparc"
9.17743478444344e-08,-2.22134706550857,0.221,0.503,0.00174912729556708,"0","mt-Cytb"
1.15854787142049e-07,-2.62582906363992,0.096,0.293,0.00220807638814031,"0","Adgrb1"
1.67325564611943e-07,-1.80696854721662,0.039,0.15,0.00318905793593902,"0","Cotl1"
2.04033799722752e-07,-1.72942402325617,0.064,0.175,0.00388868018891593,"0","Kcnma1"
2.04876669513821e-07,-2.44051006022411,0.124,0.325,0.00390474444426392,"0","Slc6a1"
2.14609937319552e-07,0.777077429906656,0.844,0.676,0.00409025079537335,"0","Mpp3"
2.24094904564516e-07,0.894484078786784,0.488,0.347,0.00427102478609511,"0","Tmod1"
2.55698623607922e-07,-1.17622058849872,0.178,0.376,0.00487336006734338,"0","Sema6a"
2.72335282126219e-07,-2.14930439333604,0.059,0.239,0.00519043814204361,"0","Basp1"
2.85050513049764e-07,0.744956795779442,0.678,0.545,0.00543277772821546,"0","Srrm3"
2.99829857081872e-07,0.824008922964247,0.734,0.567,0.00571445724612339,"0","Kifc2"
3.2743352337341e-07,0.408481606288072,0.875,0.775,0.00624055552197382,"0","Tmem132a"
3.5177202280491e-07,-0.631841653266138,0.08,0.164,0.00670442298263877,"0","Aspscr1"
3.62199083026409e-07,-2.21868219248973,0.133,0.387,0.00690315232340033,"0","mt-Nd5"
3.84196740035694e-07,0.676040296698941,0.808,0.683,0.00732240566834029,"0","Erc1"
4.05045012283307e-07,-1.78563025833971,0.079,0.241,0.00771975288910754,"0","Prdm8"
4.52493587498262e-07,0.711172214657716,0.712,0.571,0.00862407528412937,"0","Cacna1a"
5.19617617806653e-07,-2.36161133606366,0.053,0.204,0.009903392177777,"0","Luzp2"
6.08599468452189e-07,-1.73619692950239,0.052,0.192,0.0115992972692303,"0","Plekha6"
6.69598789978591e-07,0.865360693720495,0.604,0.439,0.012761883338202,"0","Syt12"
7.08048429757357e-07,-2.72922947774428,0.018,0.122,0.0134946950227455,"0","Sema4a"
7.41675496425066e-07,-1.73796319832404,0.046,0.134,0.0141355932863653,"0","Slc6a9"
8.37784256676905e-07,-1.17722713057616,0.186,0.399,0.0159673301480051,"0","Dbn1"
8.59088294574381e-07,0.538397643489931,0.779,0.609,0.0163733638062931,"0","Fat2"
9.14871523445058e-07,0.591364398948483,0.765,0.636,0.0174365363653394,"0","Ntrk3"
9.2840798871317e-07,-2.54383983218063,0.032,0.16,0.0176945278568843,"0","Gpc2"
1.07502381828121e-06,0.686485050063985,0.485,0.377,0.0204888789526217,"0","Megf11"
1.18039681857891e-06,0.412370148093914,0.611,0.565,0.0224971829652955,"0","Pclo"
1.28758072268318e-06,0.976303050045456,0.457,0.332,0.0245400009936187,"0","Pxn"
1.36235025379055e-06,-2.34639658336498,0.046,0.228,0.025965033486994,"0","mt-Nd4"
1.39912335001423e-06,-1.13325374060934,0.314,0.561,0.0266658919279212,"0","Marcks"
1.70263521201861e-06,-2.35428848318599,0.029,0.117,0.0324505245058626,"0","Tril"
1.7230326461019e-06,-0.639604663990272,0.106,0.202,0.0328392792020562,"0","Txndc5"
1.76442934205901e-06,0.602874836906219,0.775,0.637,0.0336282588303027,"0","Stxbp5l"
1.93485851209883e-06,-2.02530740376937,0.031,0.132,0.0368764683820916,"0","Dpysl3"
2.03948371850859e-06,0.738711249214802,0.617,0.486,0.0388705201910552,"0","Camk2b"
2.0987965362236e-06,0.934419625322208,0.649,0.467,0.0400009631838856,"0","Crhr1"
2.82176530600094e-06,-2.85298534469143,0.031,0.168,0.0537800249670719,"0","Sox11"
3.82316777086235e-06,-1.19166154142639,0.132,0.313,0.0728657545448655,"0","Acly"
4.1197753209772e-06,0.828781154863753,0.53,0.378,0.0785187978425044,"0","Etv1"
4.39606529349332e-06,0.39833993650893,0.917,0.807,0.0837846084286892,"0","Atp1a1"
4.80514530728395e-06,-2.41337879392863,0.045,0.199,0.0915812644115248,"0","Slc24a3"
5.1019284677737e-06,0.949051666004883,0.529,0.386,0.0972376546672989,"0","Usp3"
5.38158968519201e-06,-2.49976482229548,0.035,0.172,0.102567717810074,"0","Plxnb1"
5.69694329115229e-06,-0.514164859141033,0.157,0.265,0.108578042186072,"0","Ctsl"
5.74472045305535e-06,-0.407935843300915,0.114,0.178,0.109488627114782,"0","Sh3rf3"
5.81486242246291e-06,-1.51409488831225,0.209,0.39,0.110825462909721,"0","Qk"
6.09745982093179e-06,-1.20409261682057,0.134,0.299,0.116211486727139,"0","Plxna3"
6.22916375701322e-06,-0.725465787752737,0.379,0.574,0.118721632044915,"0","Aplp1"
6.5723403134036e-06,-0.329583906168938,0.11,0.182,0.125262234033159,"0","Acadsb"
6.77183612178751e-06,0.64807533112252,0.665,0.564,0.129064424645148,"0","Epb41"
7.2988508149311e-06,-2.62113074205854,0.123,0.263,0.139108797681772,"0","Sparcl1"
7.36578166802661e-06,-1.39540568400022,0.104,0.213,0.140384432810919,"0","Aldoc"
7.60777297766167e-06,0.368935969471923,0.737,0.679,0.144996545181254,"0","Stxbp1"
8.4173282814696e-06,0.831146395244584,0.364,0.29,0.160425859716529,"0","Specc1"
9.30931863924209e-06,-1.37686367954933,0.105,0.29,0.177426303945315,"0","Rhob"
9.45109748602948e-06,-2.37351222432428,0.049,0.143,0.180128466986236,"0","Cxcl12"
9.92110441586525e-06,0.570830424987133,0.872,0.729,0.189086329061976,"0","Jph4"
1.26775236162574e-05,0.768358388155918,0.645,0.525,0.24162092260225,"0","Appl2"
1.26961038655711e-05,-2.38848205946783,0.03,0.165,0.24197504357392,"0","Pou3f3"
1.28076461199395e-05,-1.82557791271578,0.054,0.204,0.244100927399928,"0","Marcksl1"
1.2870187665223e-05,-1.64556502985555,0.109,0.293,0.245292906711484,"0","Cd63"
1.41299383174966e-05,-0.765469087981007,0.055,0.118,0.269302494393168,"0","Dmd"
1.50310170393259e-05,-2.38143755172921,0.034,0.148,0.286476153752513,"0","Homer3"
1.55083731214076e-05,-1.44252055708302,0.185,0.404,0.295574083320908,"0","Dner"
1.59520131331701e-05,-2.66114025784171,0.039,0.134,0.304029418305088,"0","Slc38a3"
1.69860904036918e-05,-1.33585001320824,0.086,0.213,0.323737897003961,"0","Nkd1"
1.711512301394e-05,-1.85778446814199,0.048,0.188,0.326197129522683,"0","mt-Nd6"
1.84788150016909e-05,-2.87373407503734,0.019,0.104,0.352187735117226,"0","Mfge8"
2.08877073190981e-05,-0.460687327368533,0.153,0.261,0.39809881379469,"0","Pkp4"
2.09515522673311e-05,-1.10951581034431,0.118,0.265,0.399315634663063,"0","Hipk2"
2.18474971080286e-05,0.698751110391873,0.712,0.586,0.416391447381916,"0","Dgkd"
2.20711254955907e-05,-2.13731374975808,0.038,0.16,0.420653580820464,"0","Prex1"
2.3584507655999e-05,-1.30155657606934,0.065,0.152,0.449497131415684,"0","Mpp6"
2.47391635446168e-05,0.639005983334053,0.857,0.699,0.471503717996851,"0","Rbfox3"
2.72223134950495e-05,0.663816200285733,0.847,0.687,0.518830072902148,"0","Kcnc1"
2.74852066332081e-05,-2.39245308788857,0.021,0.1,0.523840553222313,"0","Grin2d"
2.83842930666113e-05,-2.11717586282242,0.032,0.133,0.540976241556544,"0","Ptprm"
2.90047365711392e-05,0.890850930324008,0.554,0.407,0.552801274309341,"0","Caln1"
2.92292270530782e-05,0.700921137326534,0.832,0.635,0.557079838404618,"0","Chgb"
2.99944970602784e-05,0.848710445513385,0.492,0.385,0.571665119471847,"0","Pitpnm1"
3.17931731609924e-05,-1.013421402638,0.128,0.258,0.605946087275353,"0","Grin2b"
3.18372461455258e-05,0.378648036243753,0.699,0.642,0.606786074287577,"0","Tmem145"
3.23483717500147e-05,-1.46725885086603,0.093,0.266,0.61652761718353,"0","Afap1"
3.36756184136695e-05,-0.33371571991056,0.144,0.221,0.641823611346126,"0","Ina"
3.37194774538591e-05,-0.732987241758793,0.288,0.444,0.6426595207931,"0","Fxyd6"
3.39649159461358e-05,0.748820974750101,0.537,0.421,0.647337333017402,"0","Trim62"
